,mds_score,minimal_path_length,demartines_herault
LG_Mean,4342239.068683467,3987.7111128482197,1396.555207679062
LG_Sum,2387823.370512264,3972.3512241981307,10.478973615743554
Fct_Mean,2152240.19070364,3691.6727454203983,9.921900853380803
Fct_Sum,2246301.9689368857,3739.623068109163,2.3901130111363167
Fct_Max_Sum,2990652.7277785107,9450.416754017133,158.2849128702314
Fct_Max_Mean,4123125538.412057,4063511.56253714,
Fct_BPE_Sum,2408866.9927407894,855208.9179796376,2.3867953696819373
Fct_BPE_Mean,6594774.3615769185,853397.452417017,796.7641257490502
Fct_Markov_BPE,2350047.521890933,854885.0723384307,1.7665921323023959
Fct_Markov_Base,3309679.297568074,9460.343171369306,335.6124455523029
Reg_Discret_Sum,2636498.179816592,3958.1997203503142,9.582479618712823
Reg_Discret_Mean,2062753.8905622156,3984.8395931434475,4.608158811122389
Reg_Euclidean_Sum,4447309.396802789,4143.470603184319,561.7292188088076
Reg_Euclidean_Mean,4363982.994230721,3946.129789633031,538.5609897661054
Reg_Cosine_Sum,2716308.0820722277,4440.426472723494,18.259064495348024
Reg_Cosine_Mean,1872229.01874107,3814.806746106059,1.6082607280415107
Reg_BPE_Sum,2482091.519241605,4233.541628293393,8.68572350991946
Reg_BPE_Mean,2330452.2127514197,4560.259585386029,140.9447562655297
Reg_Markov_BPE,2233335.1730950633,5086.529015632771,38.19696116491309
Reg_Markov_Base,2399143.9109259252,5049.888566771861,52.51055838315589
